case_idx,Converged,Target R0 [m],Target Z0 [m],Target a [m],Target kappa,Target delta,Target Ip [A],Target ffp_alpha,Target ffp_beta,Target pp_alpha,Target pp_beta,Bt [T],CS [A-turn],PF1AL [A-turn],PF1AU [A-turn],PF1BL [A-turn],PF1BU [A-turn],PF1CL [A-turn],PF1CU [A-turn],PF2L [A-turn],PF2U [A-turn],PF3L [A-turn],PF3U [A-turn],PF4L [A-turn],PF4U [A-turn],PF5L [A-turn],PF5U [A-turn],type,R,Z,error,mdsplus_path,value
9000,True,0.901687878270773,0.0074653966211914,0.5153466397027765,1.6473132080207935,-0.3360584035476602,1048194.063483457,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,3486.4170250783136,3525.5883186958977,1500.0,1500.0,-13404.760714793028,-13593.421489848455,flux_loop,0.3148,1.0428488876128712,,,0.0559798572228972
9001,True,0.9161394799635424,-0.0482356731815174,0.486736899641745,1.806252658985423,-0.090731626489487,1137019.857584952,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,3474.1432913878775,3775.825293189288,1500.0,1500.0,-15291.303583850218,-14489.619714916917,flux_loop,0.3148,1.0428488876128712,,,0.0517528264932938
9002,True,0.8842746086377882,-0.0480995589688757,0.5468431841479824,1.8887067371537631,0.5418857851981632,920169.2261747344,,,,,1.0,22400.0,16800.0,16800.0,-7348.97520913559,9200.0,-6299.999999999999,-1469.575931294302,-518.3785617244247,-1500.0,-4956.28402081073,-9026.884123747875,-5759.499255556643,407.3166717709423,-5378.331868302046,-9609.497259247328,flux_loop,0.3148,1.0428488876128712,,,0.1188799491957691
9003,True,0.9123644136350256,0.0475547638776302,0.4517310258770027,2.804625012611577,-0.4669516365765371,635330.862486174,,,,,1.0,22400.0,5003.765952474735,7284.819814650954,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,7505.558200439938,6378.724422432908,1500.0,1500.0,-11344.821865603586,-12245.93021767016,flux_loop,0.3148,1.0428488876128712,,,0.0839839632016008
9004,True,0.9302473515162754,-0.0255708335779973,0.505564113604365,1.9907352542520285,0.4650342940519135,689529.3262221878,,,,,1.0,22400.0,16800.0,16800.0,3886.1898520128184,9200.0,-6299.999999999999,-2100.8591361063145,-1500.0,-1500.0,-3894.455356102638,-5536.831393689743,-393.10725695542266,1500.0,-7210.970318301361,-8346.21745504846,flux_loop,0.3148,1.0428488876128712,,,0.124634517655773
9005,True,0.8671113380135654,-0.0307040473420513,0.4784160380572825,2.0104828052854007,-0.3737656470101995,868469.1373466402,,,,,1.0,-10299.379140862133,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,8081.515408501075,8318.484591498926,1500.0,1500.0,-15381.062516229851,-14472.875039299171,flux_loop,0.3148,1.0428488876128712,,,-0.000950102886724
9006,True,0.8938965869519884,-0.0297326788050322,0.4906261204153811,2.2706758999798544,-0.3168757587869663,967564.7709971634,,,,,1.0,-22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,2440.365358470468,2445.536756641074,8022.753508675608,8377.246491324393,1500.0,1500.0,-16979.857725841528,-16285.478799539816,flux_loop,0.3148,1.0428488876128712,,,-0.0092864728097035
9007,True,0.9047987099148408,-0.049145762657346,0.5171220126538884,2.137215029846051,-0.3093483450810276,953995.397272744,,,,,1.0,-22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,7974.607152246144,8425.392847753857,1500.0,1500.0,-16227.892416565095,-15121.919380603746,flux_loop,0.3148,1.0428488876128712,,,-0.0166843505012553
9008,True,0.8527783954388564,-0.0111882772503452,0.5043943441076458,2.687446976643349,0.0992489171558789,1198892.2651650067,,,,,1.0,22400.0,-601.2364415403512,-301.00223963539986,9200.0,9200.0,633.2908903123833,85.54326600501533,-1500.0,-1500.0,270.2834715875629,446.0461432211471,1500.0,1500.0,-14567.250195752678,-14452.685301262882,flux_loop,0.3148,1.0428488876128712,,,0.1007372217359776
9009,True,0.8589800726363409,0.0263330833970953,0.4984842039172366,1.510423009084317,-0.3040027189967754,895417.3348405097,,,,,1.0,22400.0,-1500.0,-1500.0,-9200.0,-9200.0,-6299.999999999999,-6299.999999999999,-1500.0,-1500.0,3642.7324780007584,3829.9996161382046,1500.0,1500.0,-12451.330341064648,-13157.678204288351,flux_loop,0.3148,1.0428488876128712,,,0.0449840953674443
9010,True,0.8944517487211446,0.0345099336680619,0.5474411214326157,2.775872754140166,0.5369712719714025,1140709.5056811734,,,,,1.0,22400.0,6744.567488649674,5333.183781765221,-9200.0,-9200.0,-6299.999999999999,2032.8668524742377,9853.215673849054,5715.80801325797,-3056.6555307318413,-3047.731979626585,1500.0,1500.0,-12877.432778112,-13016.719724215764,flux_loop,0.3148,1.0428488876128712,,,0.1097839872920939
9011,True,0.8866064000256474,-0.0229408880799519,0.5362081545788974,3.186556104297699,0.0256301602041386,557399.2340626075,,,,,1.0,-22400.0,1759.9339556728137,2540.23803041156,-3198.1607154779367,-7722.985763681651,2051.1178945585248,5181.9346985150405,373.7727231563898,231.96764617141451,495.0880438881997,629.8876962397659,1500.0,1500.0,-7778.799705397048,-7520.835180373689,flux_loop,0.3148,1.0428488876128712,,,-0.0022083256658919
