run_tag,model,R2_train,R2_test,RMSE_test,t_tr_s,t_I_us_per_row,HPO_metric,HPO_direction,HPO_n_trials,HPO_best_objective
smart_coils_gamma_run,smart_rf_coils_gamma,0.5594664795508941,-0.11721493716903253,0.44454426222281107,0.3832387499969627,78.08284666680265,,,,
smart_coils_gamma_run,smart_mlp_coils_gamma,0.007886859509201982,-0.026534885864754942,0.42612155077856323,1.6315408330010541,0.7459716653102078,,,,
smart_coils_profiles_gamma_hpo,smart_rf_coils_prof_gamma,0.154709265081015,-0.013473895095501787,0.42139073889173134,0.656586042001436,47.79958374456328,val_r2,maximize,40.0,0.0002502495623606382
smart_coils_profiles_gamma_hpo,smart_mlp_coils_prof_gamma,0.18768687673098328,-0.054143642476702336,0.4297625820504754,5.339195833003032,1.916041246659006,val_r2,maximize,40.0,-0.05104554758515367
smart_currents_profiles_shaping_hpo,smart_rf_curr_prof_shape,0.14670299307563928,-0.00738255495057033,0.3801148870686816,1.3952110410027672,76.82989625209302,val_r2,maximize,40.0,-0.003206721049570274
smart_currents_profiles_shaping_hpo,smart_mlp_curr_prof_shape,0.07624017593204263,-0.02402568586881773,0.3857090299694826,7.472501083997486,2.794113743220805,val_r2,maximize,40.0,-0.014198366644352811
smart_currents_shaping_run,smart_rf_currents_shape,0.4798195918637326,-0.03456884286025508,0.2692351965626797,0.35976087499875575,49.62007000358426,,,,
smart_currents_shaping_run,smart_mlp_currents_shape,0.0033722703203494797,-0.002559091704556815,0.2650373777544253,1.6171605840027041,1.4059016636262336,,,,
smart_gamma_full_hpo,smart_rf_gamma_full,0.9922663885215892,0.9514429279663453,0.09223695322667937,1.4218850830002339,50.81130125290656,val_r2,maximize,50.0,0.960791556718097
smart_gamma_full_hpo,smart_mlp_gamma_full,0.9873251039545207,0.9495437551164646,0.09402344643407227,10.293349999999919,1.911146246129647,val_r2,maximize,50.0,0.9581783118189462
smart_gamma_no_coils_hpo,smart_rf_gamma_nocoils,0.9922036060268266,0.951523821736773,0.0921600900141744,0.7941015840042382,33.06822874947102,val_r2,maximize,50.0,0.9607888145270438
smart_gamma_no_coils_hpo,smart_mlp_gamma_nocoils,0.9883090620398124,0.9487768497825225,0.09473530231165495,3.462074791001214,1.2094799967599101,val_r2,maximize,50.0,0.9588457166201656
smart_gamma_shapes_hpo,smart_rf_gamma_shapes,0.9810277303968815,0.9525946240505649,0.09113653251389009,0.3339270420037792,34.01786500035087,val_r2,maximize,50.0,0.9618334930629934
smart_gamma_shapes_hpo,smart_mlp_gamma_shapes,0.9705491517143491,0.9559755305158725,0.08782653903906382,5.460722666000947,1.8424475001665996,val_r2,maximize,50.0,0.9650724385053733
smart_shapes_gamma_run,smart_rf_gamma,0.9922805973199061,0.9566745818997872,0.08754231429440114,1.38380275000236,67.95923500249046,,,,
smart_shapes_gamma_run,smart_mlp_gamma,0.9711659003492265,0.9598940713148136,0.08422692217312179,2.6081638329997077,1.187846664834069,,,,
