key,family,relL2_spectrum_fno48_floor6_smooth1_qc,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_alpha_spectrum_fno48_floor6_smooth1_qc,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_mhi100,patR2_spectrum_fno48_floor6_smooth1_qc,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_mhi100,crf_spectrum_fno48_floor6_smooth1_qc,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_mhi100,winner
run10_sparc_1300,sparc_1300,0.569307,0.468011,0.528773,0.530450,0.467559,0.528771,0.941582,0.980066,0.958680,0.857555,0.835203,0.768593,spectrum_fno48_floor6_smooth1_qc_peak4
run10_sparc_1302,sparc_1302,1.682217,2.010591,2.096867,0.977617,0.958201,0.979588,0.901295,0.931316,0.924858,0.532073,0.565947,0.730591,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1305,sparc_1305,1.287224,1.359383,1.709827,0.841391,0.832664,0.939250,0.900974,0.913037,0.919482,0.902652,0.543004,0.928763,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1306,sparc_1306,1.067485,1.060983,1.202978,0.856106,0.787666,0.932881,0.910343,0.896296,0.933042,0.794879,0.881919,0.895634,spectrum_fno48_floor6_smooth1_qc_peak4
run10_sparc_1307,sparc_1307,0.608420,0.694049,0.805229,0.592783,0.680527,0.750664,0.901070,0.907545,0.917571,0.855059,0.950186,0.976129,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1319,sparc_1319,0.746394,0.789359,0.910420,0.744922,0.754848,0.841781,0.864716,0.875940,0.904614,0.488392,0.698815,0.715664,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1360,sparc_1360,0.639312,0.804488,0.731057,0.638962,0.749382,0.723236,0.896328,0.891935,0.916169,0.375374,0.891672,0.759094,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1361,sparc_1361,0.577859,0.816923,0.720365,0.576165,0.745036,0.714585,0.891579,0.881799,0.906697,0.518614,0.903984,0.694890,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1364,sparc_1364,0.675389,0.645901,0.829270,0.665772,0.644044,0.809330,0.884402,0.887226,0.901319,0.672186,0.600333,0.784791,spectrum_fno48_floor6_smooth1_qc_peak4
run10_sparc_1407,sparc_1407,1.343063,1.323896,1.630110,0.916649,0.837334,0.946691,0.911997,0.924528,0.936744,0.774514,0.875175,0.928510,spectrum_fno48_floor6_smooth1_qc_peak4
run10_sparc_1412,sparc_1412,0.774963,0.773905,0.977732,0.773701,0.770780,0.899346,0.886866,0.889862,0.908910,0.397026,0.443581,0.671876,spectrum_fno48_floor6_smooth1_qc_peak4
run10_sparc_1420,sparc_1420,0.911429,0.858817,0.924877,0.899587,0.852000,0.914531,0.863168,0.884180,0.891423,0.873889,0.799323,0.700959,spectrum_fno48_floor6_smooth1_qc_peak4
run10_sparc_1440,sparc_1440,1.074454,1.525237,1.914341,0.839755,0.882251,0.959114,0.892824,0.864623,0.888154,0.792889,0.860264,0.868502,spectrum_fno48_floor6_smooth1_qc
run10_sparc_1441,sparc_1441,1.050761,1.452417,1.819905,0.839760,0.876183,0.957555,0.898625,0.871650,0.895540,0.788611,0.854401,0.838351,spectrum_fno48_floor6_smooth1_qc
