family,key,relL2_oracle,relL2_random,relL2_sigma_0.25,relL2_sigma_0.5,relL2_sigma_1.0,relL2_zero
sparc_1515,run44_sparc_1515,1.2279436147983855,1.881356315341705,1.2847852265452655,1.3306467719604769,1.585887063034721,1.1641186687310314
sparc_1522,run73_sparc_1522,1.4243800543515406,2.1230700828135243,1.4742268450791296,1.5428323080322135,1.9086096471470122,1.1991989478582932
sparc_1529,run16_sparc_1529,1.156744529572351,2.3293758262598403,1.1537681190531361,1.3878957702863217,1.85000298557226,1.1467314241604336
sparc_1530,run54_sparc_1530,0.9403285004813383,1.3352901874928333,0.9527905904796697,0.9963084838660715,1.056186757734264,1.0682371309022323
sparc_1416,run49_sparc_1416,2.909452814989751,4.724749922158499,2.9798906948796113,3.1993046109278303,4.482993986037646,1.935971109840605
sparc_1503,run61_sparc_1503,1.2973030327152353,1.7928894121956753,1.3296724565489513,1.4363733658936708,1.5132404482582908,1.0859838984607335
sparc_1507,run65_sparc_1507,1.7343481450819958,2.468542098515514,1.8319675212238828,1.8104500652158646,2.235310675578453,1.2572133175847218
sparc_1500,run23_sparc_1500,0.9307580246252677,1.317787460322929,0.9449385490966284,1.0114997670359276,1.098554108137086,1.0607401225405437
sparc_1350,run52_sparc_1350,1.6552312361585317,2.450321826279417,1.656229403969597,1.8508299714719088,1.9429582298918417,1.280456220768653
sparc_1426,run77_sparc_1426,1.0832303039435702,1.6246842417107332,1.0586235561975363,1.133323252284337,1.2772429291518401,1.1018342957240868
sparc_1414,run68_sparc_1414,1.1722516856101801,1.3504686348815353,1.1682571859665316,1.2363517930015033,1.2809922322802845,1.0585795779181264
sparc_1350,run64_sparc_1350,2.328621903873387,3.3682218645370154,2.4299607699534267,2.352765241988158,2.936742270144652,1.499987338875675
sparc_1359,run37_sparc_1359,1.036774377799148,1.1915663293059051,1.0462092910422152,1.0601399807453373,1.1556914245122347,1.0656613691803793
sparc_1422,run32_sparc_1422,2.3832627219661675,3.702618978059752,2.657494646523222,2.503964845807435,2.689560625620599,1.5140095575621824
sparc_1416,run59_sparc_1416,1.0060533949416035,1.1913324222121524,1.0039566012004832,1.0313800370082575,1.0829673814952305,1.0561802710890493
sparc_1400,run36_sparc_1400,0.8342887438085547,1.5344017128460299,0.8905121034448532,0.9799066609873988,1.1872941961744783,1.0721158897650953
sparc_1413,run31_sparc_1413,2.458418817044642,3.6391532008286527,2.656611324857716,2.565204514882929,3.1129777010521433,1.415445431179607
sparc_1440,run91_sparc_1440,1.0503146817766889,1.3720913194776558,1.0486346127525292,1.085682423691536,1.305657564362553,1.078123686325991
sparc_1318,run90_sparc_1318,2.149590869059328,3.2069538393364683,2.1136023237036943,2.085585472588763,2.5203436483259996,1.3683698074663893
sparc_1315,run65_sparc_1315,1.9349113019392084,3.007198838159471,1.922694518708159,2.0348120321703935,2.54069545207237,1.3811601729423186
sparc_1418,run60_sparc_1418,1.7618248512685815,2.9027981686011546,1.8309251995474043,1.953975515682671,2.2326594769128416,1.3982668036394919
sparc_1316,run52_sparc_1316,1.7986855421113097,2.4416193528364847,1.7279890984466582,1.7125044550314041,2.1023432062229523,1.1958213661207546
