key,family,relL2_spectrum_fno48_floor6_smooth1_qc,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_mhi100,relL2_alpha_spectrum_fno48_floor6_smooth1_qc,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_mhi100,patR2_spectrum_fno48_floor6_smooth1_qc,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_mhi100,crf_spectrum_fno48_floor6_smooth1_qc,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_mhi100,winner
run10_sparc_1300,sparc_1300,0.569307,0.468011,0.528773,0.530450,0.467559,0.528771,0.941582,0.980066,0.958680,0.857555,0.835203,0.768593,spectrum_fno48_floor6_smooth1_qc_peak4
run48_sparc_1301,sparc_1301,1.037680,0.919786,0.709258,0.850131,0.800140,0.656417,0.876918,0.905283,0.947158,0.981009,0.981812,0.848629,spectrum_fno48_floor6_smooth1_qc_mhi100
run10_sparc_1302,sparc_1302,1.682217,2.010591,2.096867,0.977617,0.958201,0.979588,0.901295,0.931316,0.924858,0.532073,0.565947,0.730591,spectrum_fno48_floor6_smooth1_qc
run77_sparc_1303,sparc_1303,0.717471,0.720344,0.811841,0.714397,0.719338,0.796317,0.924274,0.911824,0.916128,0.698775,0.861954,0.871016,spectrum_fno48_floor6_smooth1_qc
run20_sparc_1304,sparc_1304,0.713449,0.713749,0.755982,0.650984,0.606011,0.677112,0.913043,0.918407,0.946635,0.783717,0.906123,0.820127,spectrum_fno48_floor6_smooth1_qc
run74_sparc_1305,sparc_1305,1.208177,1.332463,1.357256,0.911923,0.948401,0.956920,0.644875,0.816767,0.830569,0.630272,0.718889,0.774217,spectrum_fno48_floor6_smooth1_qc
run71_sparc_1306,sparc_1306,1.058890,1.048757,1.178715,0.806977,0.819156,0.910071,0.926733,0.919451,0.941009,0.766618,0.880159,0.794391,spectrum_fno48_floor6_smooth1_qc_peak4
run25_sparc_1307,sparc_1307,1.140550,1.126500,1.090386,0.747537,0.727494,0.819241,0.940573,0.938616,0.949663,0.849606,0.922469,0.877724,spectrum_fno48_floor6_smooth1_qc_mhi100
run12_sparc_1308,sparc_1308,1.201316,1.118520,1.146241,0.791918,0.790862,0.861933,0.936823,0.929904,0.952750,0.770901,0.808322,0.730763,spectrum_fno48_floor6_smooth1_qc_peak4
run70_sparc_1309,sparc_1309,0.935044,0.798287,0.928613,0.826465,0.776596,0.847079,0.787165,0.816290,0.773314,0.957956,0.928991,0.981912,spectrum_fno48_floor6_smooth1_qc_peak4
run71_sparc_1310,sparc_1310,0.731697,0.626414,0.853298,0.718544,0.626414,0.816927,0.896325,0.901694,0.911987,0.374823,0.574222,0.617486,spectrum_fno48_floor6_smooth1_qc_peak4
run71_sparc_1311,sparc_1311,0.774316,0.637776,0.911812,0.735733,0.631693,0.824215,0.894839,0.899038,0.906741,0.475293,0.539873,0.648238,spectrum_fno48_floor6_smooth1_qc_peak4
run92_sparc_1313,sparc_1313,0.537225,0.518398,0.683509,0.524649,0.509414,0.626955,0.928782,0.925852,0.954961,0.669040,0.569921,0.599054,spectrum_fno48_floor6_smooth1_qc_peak4
run4_sparc_1314,sparc_1314,0.535022,0.491720,0.655964,0.534166,0.490973,0.632578,0.929697,0.926519,0.952324,0.560137,0.712131,0.652674,spectrum_fno48_floor6_smooth1_qc_peak4
run95_sparc_1315,sparc_1315,0.739123,0.661371,0.730176,0.661783,0.656353,0.673482,0.907505,0.901072,0.937623,0.842195,0.858522,0.720180,spectrum_fno48_floor6_smooth1_qc_peak4
run59_sparc_1316,sparc_1316,0.724827,0.659943,0.777338,0.724318,0.659656,0.774771,0.936916,0.937178,0.933029,0.674929,0.910828,0.845227,spectrum_fno48_floor6_smooth1_qc_peak4
run2_sparc_1317,sparc_1317,0.620407,0.674706,0.667215,0.584408,0.616044,0.656296,0.924301,0.926591,0.948472,0.651230,0.775692,0.645882,spectrum_fno48_floor6_smooth1_qc
run56_sparc_1318,sparc_1318,0.597580,0.759424,0.873023,0.565999,0.661540,0.717973,0.907126,0.902172,0.937518,0.408081,0.876054,0.598448,spectrum_fno48_floor6_smooth1_qc
run41_sparc_1319,sparc_1319,0.783359,0.758482,0.905680,0.729435,0.704441,0.812962,0.885332,0.883970,0.907233,0.741047,0.821967,0.922668,spectrum_fno48_floor6_smooth1_qc_peak4
run43_sparc_1349,sparc_1349,0.847211,0.808071,0.709132,0.768771,0.766237,0.701089,0.917527,0.921288,0.940769,0.827547,0.831453,0.600788,spectrum_fno48_floor6_smooth1_qc_mhi100
