key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom,winner
run10_sparc_1300,sparc_1300,0.473958,0.468011,0.426082,0.473958,0.467559,0.425999,0.969102,0.980066,0.946829,0.911237,0.835203,0.955514,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run10_sparc_1302,sparc_1302,1.725874,2.010591,1.936259,0.891510,0.958201,0.915574,0.915161,0.931316,0.925518,0.876751,0.565947,0.924068,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1305,sparc_1305,1.033249,1.359383,1.367617,0.767044,0.832664,0.838997,0.908107,0.913037,0.915506,0.770080,0.543004,0.908171,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1306,sparc_1306,0.987921,1.060983,0.979814,0.789869,0.787666,0.829135,0.882125,0.896296,0.912985,0.938200,0.881919,0.897652,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run10_sparc_1307,sparc_1307,0.623549,0.694049,0.613855,0.612457,0.680527,0.613155,0.880310,0.907545,0.905758,0.975480,0.950186,0.977946,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_geom
run10_sparc_1319,sparc_1319,0.634834,0.789359,0.634988,0.623362,0.754848,0.621294,0.885322,0.875940,0.886331,0.938039,0.698815,0.960299,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1360,sparc_1360,0.518886,0.804488,0.521037,0.514780,0.749382,0.516695,0.896313,0.891935,0.906298,0.924466,0.891672,0.915927,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1361,sparc_1361,0.493879,0.816923,0.503331,0.492533,0.745036,0.500356,0.890172,0.881799,0.887087,0.933963,0.903984,0.939447,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1364,sparc_1364,0.549323,0.645901,0.573366,0.549138,0.644044,0.573209,0.882216,0.887226,0.879792,0.834555,0.600333,0.885902,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
run10_sparc_1407,sparc_1407,1.154886,1.323896,1.461963,0.874880,0.837334,0.911852,0.898102,0.924528,0.921144,0.889174,0.875175,0.864027,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss
