key,family,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4,relL2_alpha_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,patR2_spectrum_fno48_floor6_smooth1_qc_peak4,patR2_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,crf_spectrum_fno48_floor6_smooth1_qc_peak4,crf_spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05,winner
run10_sparc_1300,sparc_1300,0.473958,0.468011,0.414163,0.473958,0.467559,0.414148,0.969102,0.980066,0.955570,0.911237,0.835203,0.888346,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1302,sparc_1302,1.725874,2.010591,1.280312,0.891510,0.958201,0.738746,0.915161,0.931316,0.871647,0.876751,0.565947,0.872135,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1305,sparc_1305,1.033249,1.359383,0.553644,0.767044,0.832664,0.403439,0.908107,0.913037,0.832695,0.770080,0.543004,0.677953,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1306,sparc_1306,0.987921,1.060983,0.813847,0.789869,0.787666,0.731231,0.882125,0.896296,0.807905,0.938200,0.881919,0.573693,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1307,sparc_1307,0.623549,0.694049,0.367233,0.612457,0.680527,0.328343,0.880310,0.907545,0.822242,0.975480,0.950186,0.820508,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1319,sparc_1319,0.634834,0.789359,0.411628,0.623362,0.754848,0.411164,0.885322,0.875940,0.762297,0.938039,0.698815,0.745834,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1360,sparc_1360,0.518886,0.804488,0.362654,0.514780,0.749382,0.361205,0.896313,0.891935,0.788278,0.924466,0.891672,0.693767,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1361,sparc_1361,0.493879,0.816923,0.395088,0.492533,0.745036,0.392979,0.890172,0.881799,0.760553,0.933963,0.903984,0.676679,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1364,sparc_1364,0.549323,0.645901,0.358543,0.549138,0.644044,0.358543,0.882216,0.887226,0.714533,0.834555,0.600333,0.670535,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1407,sparc_1407,1.154886,1.323896,0.961708,0.874880,0.837334,0.828235,0.898102,0.924528,0.836669,0.889174,0.875175,0.457463,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1412,sparc_1412,0.525755,0.773905,0.149606,0.525721,0.770780,0.140522,0.892217,0.889862,0.883418,0.821221,0.443581,0.481708,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1420,sparc_1420,0.739863,0.858817,0.633682,0.739625,0.852000,0.579513,0.893103,0.884180,0.738359,0.854617,0.799323,0.662457,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1440,sparc_1440,0.977739,1.525237,0.548301,0.898255,0.882251,0.417178,0.865319,0.864623,0.809515,0.675039,0.860264,0.527643,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1441,sparc_1441,0.968591,1.452417,0.526508,0.898970,0.876183,0.408657,0.870424,0.871650,0.813479,0.722492,0.854401,0.554131,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
run10_sparc_1515,sparc_1515,0.927250,0.970241,0.852010,0.916113,0.945840,0.851938,0.825221,0.815760,0.723296,0.978456,0.916321,0.759928,spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss_smooth05
